dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
C10C_gaussian_noise,1,0.1,SSF,0.4902,0.4950,0.4902,0.4889,1792,2.99,0.4789
C10C_gaussian_noise,1,0.1,Adapter,0.4926,0.4910,0.4926,0.4874,25440,3.31,0.4890
C10C_gaussian_noise,1,0.1,LoRA,0.4900,0.4949,0.4900,0.4877,49704,3.74,0.6967
C10C_gaussian_noise,1,0.1,LFW(ours),0.4552,0.4600,0.4552,0.4424,3072,5.08,0.4517
C10C_gaussian_noise,1,0.1,FFT,0.4958,0.4923,0.4958,0.4887,1218186,3.28,0.4590
C10C_gaussian_noise,1,0.2,LinearProbe,0.4976,0.4904,0.4976,0.4917,1290,7.23,0.4526
C10C_gaussian_noise,1,0.2,BitFit,0.4988,0.4931,0.4988,0.4942,8714,15.68,0.4675
C10C_gaussian_noise,1,0.2,SSF,0.5020,0.4977,0.5020,0.4974,1792,13.37,0.4715
C10C_gaussian_noise,1,0.2,Adapter,0.4924,0.4936,0.4924,0.4913,25440,12.25,0.4954
C10C_gaussian_noise,1,0.2,LoRA,0.5012,0.5014,0.5012,0.4989,49704,9.77,0.6971
C10C_gaussian_noise,1,0.2,LFW(ours),0.4724,0.4754,0.4724,0.4612,3072,5.92,0.4544
C10C_gaussian_noise,1,0.2,FFT,0.4790,0.4764,0.4790,0.4758,1218186,26.68,0.4709
C10C_gaussian_noise,1,0.5,LinearProbe,0.4958,0.4913,0.4958,0.4915,1290,7.81,0.4572
C10C_gaussian_noise,1,0.5,BitFit,0.4950,0.4884,0.4950,0.4896,8714,15.36,0.4606
C10C_gaussian_noise,1,0.5,SSF,0.4996,0.4982,0.4996,0.4966,1792,29.52,0.4716
C10C_gaussian_noise,1,0.5,Adapter,0.5096,0.5051,0.5096,0.5059,25440,26.29,0.4870
C10C_gaussian_noise,1,0.5,LoRA,0.5140,0.5083,0.5140,0.5076,49704,21.45,0.6984
C10C_gaussian_noise,1,0.5,LFW(ours),0.4558,0.4574,0.4558,0.4432,3072,18.71,0.4575
C10C_gaussian_noise,1,0.5,FFT,0.5158,0.5098,0.5158,0.5104,1218186,26.11,0.4499
C10C_gaussian_noise,1,1,LinearProbe,0.5032,0.4988,0.5032,0.4988,1290,42.27,0.4688
C10C_gaussian_noise,1,1,BitFit,0.5080,0.5047,0.5080,0.5047,8714,42.84,0.4770
C10C_gaussian_noise,1,1,SSF,0.5144,0.5128,0.5144,0.5122,1792,34.12,0.4940
C10C_gaussian_noise,1,1,Adapter,0.5174,0.5126,0.5174,0.5138,25440,52.50,0.5234
C10C_gaussian_noise,1,1,LoRA,0.5114,0.5138,0.5114,0.5104,49704,36.68,0.7002
C10C_gaussian_noise,1,1,LFW(ours),0.4708,0.4790,0.4708,0.4587,3072,20.74,0.4560
C10C_gaussian_noise,1,1,FFT,0.5206,0.5163,0.5206,0.5169,1218186,47.66,0.4782
C10C_gaussian_noise,2,1,ZeroShot,0.4876,0.5097,0.4876,0.4818,0,0.0,0.4700
C10C_gaussian_noise,2,0.05,LinearProbe,0.4876,0.5097,0.4876,0.4818,1290,0.55,0.4732
C10C_gaussian_noise,2,0.05,BitFit,0.5010,0.5037,0.5010,0.4974,8714,1.50,0.4753
C10C_gaussian_noise,2,0.05,SSF,0.4876,0.5097,0.4876,0.4818,1792,1.05,0.4910
C10C_gaussian_noise,2,0.05,Adapter,0.4896,0.5096,0.4896,0.4839,25440,1.19,0.4938
C10C_gaussian_noise,2,0.05,LoRA,0.4876,0.5097,0.4876,0.4818,49704,1.50,0.7099
C10C_gaussian_noise,2,0.05,LFW(ours),0.4876,0.5097,0.4876,0.4818,3072,1.06,0.4845
C10C_gaussian_noise,2,0.05,FFT,0.5002,0.5073,0.5002,0.4953,1218186,3.02,0.7076
C10C_gaussian_noise,2,0.1,LinearProbe,0.4992,0.4985,0.4992,0.4968,1290,5.84,0.6826
C10C_gaussian_noise,2,0.1,BitFit,0.5106,0.5055,0.5106,0.5031,8714,6.02,0.6659
C10C_gaussian_noise,2,0.1,SSF,0.5022,0.5011,0.5022,0.4986,1792,11.92,0.6984
C10C_gaussian_noise,2,0.1,Adapter,0.5064,0.5022,0.5064,0.4982,25440,8.05,0.7520
C10C_gaussian_noise,2,0.1,LoRA,0.4900,0.4897,0.4900,0.4853,49704,9.34,1.0691
C10C_gaussian_noise,2,0.1,LFW(ours),0.4878,0.5079,0.4878,0.4828,3072,3.87,0.6694
C10C_gaussian_noise,2,0.1,FFT,0.5196,0.5147,0.5196,0.5137,1218186,9.06,0.7347
C10C_gaussian_noise,2,0.2,LinearProbe,0.5060,0.5030,0.5060,0.5037,1290,12.49,0.6343
C10C_gaussian_noise,2,0.2,BitFit,0.5114,0.5075,0.5114,0.5073,8714,8.77,0.6556
C10C_gaussian_noise,2,0.2,SSF,0.5166,0.5139,0.5166,0.5142,1792,18.95,0.6423
C10C_gaussian_noise,2,0.2,Adapter,0.5174,0.5125,0.5174,0.5137,25440,12.82,0.5779
C10C_gaussian_noise,2,0.2,LoRA,0.4966,0.4931,0.4966,0.4929,49704,13.25,0.7964
C10C_gaussian_noise,2,0.2,LFW(ours),0.4702,0.4899,0.4702,0.4652,3072,10.67,0.5346
C10C_gaussian_noise,2,0.2,FFT,0.5118,0.5087,0.5118,0.5095,1218186,16.10,0.5472
C10C_gaussian_noise,2,0.5,LinearProbe,0.5120,0.5080,0.5120,0.5090,1290,12.48,0.5570
